name,area,circularity_ratio,population,annualcrop,builtup,closedforest,fishpond,grassland,inlandwater,mangroveforest,openforest,openbarren,perennialcrop,shrubs,woodedgrassland
Abra De Ilog Watershed 1,42.9996,0.458043,2570,0,0,0,0,0.2416,0,0,0.3631,0,0.0309,0.2463,0.1181
Abra De Ilog Watershed 2,143.573,0.528438,8606,0.1463,0.0083,0,0,0.2216,0.0121,0,0.1018,0,0,0.412,0.0979
Abra De Ilog-Mamburao Watershed,316.761,0.29444,29586,0.1441,0.0033,0.0161,0,0.2525,0.0101,0.0014,0.0539,0.0023,0.0031,0.315,0.1982
Bansud-Bongabong Watershed,120.151,0.372932,22127,0.1855,0.0112,0,0,0.0784,0.0152,0.0024,0.1355,0,0.4759,0.0957,0
Bongabong Watershed,79.9201,0.423343,11666,0.1831,0.0089,0,0.0055,0.0319,0.0061,0.002,0.0036,0.0011,0.6495,0.1082,0
Bongabong-Mansalay Watershed,132.131,0.255681,32759,0.1742,0.028,0,0,0.0187,0.0056,0,0.2005,0.0034,0.3281,0.2416,0
Bulalacao Watershed,42.0723,0.333399,4501,0.042,0.002,0,0.0029,0.002,0.0002,0,0.2212,0,0.2749,0.1542,0.3006
Calapan-Naujan Watershed,62.0074,0.19707,25772,0.8329,0.0287,0,0.0028,0,0.0444,0.0123,0,0,0.079,0,0
Gloria-Bansud Watershed 1,43.6297,0.324361,6614,0.3114,0.0286,0,0,0.327,0.0066,0,0,0,0.1942,0.1322,0
Gloria-Bansud Watershed 2,86.687,0.237042,16727,0.0961,0.0035,0,0,0.222,0.0218,0,0.2082,0,0.3347,0.1137,0
Gloria-Bansud Watershed 3,88.3329,0.17614,12333,0.0634,0.0047,0,0,0.1135,0.021,0,0.3512,0.0054,0.2059,0.2349,0
Magsaysay-Bulalacao Watershed,63.1496,0.351409,8479,0.1993,0.0042,0,0.0887,0.0295,0.0042,0.0066,0.0411,0,0.0053,0.3129,0.3084
Mamburao Watershed,45.8964,0.369903,5717,0.065,0.0095,0,0.0079,0.141,0.0067,0.0081,0,0,0,0.3233,0.4385
Mansalay-Bulalacao Watershed,87.268,0.354316,9342,0.1608,0.0091,0,0.0063,0.0081,0.0006,0.0028,0.0091,0,0.5929,0.1445,0.0658
Mansalay-Magsaysay Watershed,385.965,0.203859,47405,0.0868,0.0014,0,0.0005,0.1405,0.0102,0.0004,0.1943,0.0007,0.192,0.2003,0.1729
Mansalay-Roxas Watershed,75.6219,0.344296,10753,0.1515,0.0123,0,0.0026,0.0611,0.0018,0,0,0,0.553,0.2177,0
Paluan Watershed 1,40.3001,0.349497,7442,0.0136,0,0,0,0.2679,0.0009,0,0.2506,0.0005,0,0.3048,0.1617
Paluan Watershed 2,42.7919,0.4347,7902,0.007,0.0015,0,0,0.3231,0.0044,0,0.3299,0,0,0.3107,0.0234
Paluan Watershed 3,48.8876,0.410137,9027,0.1197,0.0029,0,0,0.0421,0.016,0,0.2216,0,0,0.5019,0.0958
Paluan Watershed 4,86.8775,0.386311,16043,0.0148,0,0,0,0.182,0.0302,0,0.292,0,0,0.2057,0.2752
Paluan-Mamburao Watershed,75.125,0.282345,177279,0.0318,0,0,0,0.1658,0.0107,0,0.1061,0.0154,0,0.5371,0.1332
